component,paper_role,status,claim,primary_metric,evidence_dir,run_id,paper_use,boundary
G2 T-OMP-Net bounded off-grid refinement,main result candidate,supported-local,Trainable bounded off-grid refinement improves measurement NMSE over grid Tensor-OMP at locked tensor scale.,mean gain 5.8956 dB; min L-cell gain 5.3863 dB,05_results/stage2_torch_locked_scale_g2_seed_sweep_paper_30test,stage2_torch_locked_scale_g2_seed_sweep_paper_30test_20260630,main text method/evaluation table,local synthetic/off-grid; 30 held-out scenes per L/seed; not external-channel validation
E12 matched NOMP-inspired compute--accuracy comparison,main trade-off evidence,trusted-with-caveats,NOMP-inspired continuous refinement dominates accuracy while the learned scalar occupies a lower-compute point.,NOMP min gain vs grid 24.6422 dB; NOMP/scalar median runtime ratio 8.1064x,05_results/tensor_nomp3d_matched_paper_5seed,e12_tensor_nomp_matched_paper_5seed_20260630,main matched-comparison subsection and Pareto figure,"known target count, dense tensor, matched sinusoidal generator; not a reproduction of CFAR NOMP-OFDM-ISAC"
E12 ESPRIT/PARAFAC matched comparator availability,comparator boundary,parafac-matched-esprit-timing-only,PARAFAC-ALS has matched accuracy rows; separable FB-ESPRIT is explicitly timing-only because joint pairing is unavailable.,PARAFAC mean NMSE -16.8550 dB; failure rate 0.0000,05_results/e12_matched_accuracy_comparators,e12_matched_accuracy_comparators_20260630,matched table plus explicit timing-only row,fixed ten-sweep ALS; ESPRIT lacks cross-axis component pairing
A4 high-L plateau early stopping,narrowed Stage-3 contribution,supported-for-L>=32,A deployable plateau gate reduces depth/FLOPs for high-L samples while staying near fixed K=8 NMSE.,L>=32 min mean savings 26.5000%; max gap 0.4957 dB,05_results/stage3_a4_cross_l_plateau_gate_seed_sweep_strengthened,stage3_a4_cross_l_plateau_gate_seed_sweep_strengthened_20260630,main or secondary result with high-L wording,not global IA-AUD; L=16 is boundary-only because max gap exceeds 0.5 dB
A4 SNR-axis plateau gate sensitivity,boundary/diagnostic result,snr-robustness-inconclusive,The current scalar plateau gate does not support a broad SNR-robust early-stop claim.,min SNR-cell mean savings 21.8750%; max gap 0.6834 dB,05_results/stage3_a4_snr_plateau_gate_seed_sweep,stage3_a4_snr_plateau_gate_seed_sweep_20260625,boundary row or appendix sensitivity,"SNR={10,20,30}, L=32; 10/20 dB exceed 0.5 dB max-gap in small sample, 30 dB falls below 25% mean savings"
A4 SNR threshold frontier diagnostic,boundary/diagnostic result,scalar-frontier-fails-snr-axis,A finer scalar threshold frontier still does not support widening A4 across the tested SNR axis.,standard min SNR savings 15.6250%; oracle min SNR savings 0.0000%; oracle max gap 0.4554 dB,05_results/stage3_a4_snr_threshold_frontier,stage3_a4_snr_threshold_frontier_20260625,appendix diagnostic or future-work steering,test-oracle frontier is diagnostic only; result argues against broadening A4 with a scalar threshold gate
A4 SNR-aware gate diagnostic,boundary/diagnostic result,snr-aware-gate-refuted-current-curves,A lightweight SNR/curve-feature-aware sequential gate still does not support widening A4 across the tested SNR axis under the current refinement curves.,kNN min SNR savings 21.8750%; kNN max gap 0.6558 dB; oracle min SNR savings 21.8750%,05_results/stage3_a4_snr_aware_gate_diagnostic,stage3_a4_snr_aware_gate_diagnostic_20260625,appendix diagnostic or future-work steering,per-curve quality oracle is diagnostic only; result suggests the current curve family lacks enough cross-SNR early-stop room without refinement-schedule redesign
Paper-scale Kruskal/on-grid sanity,supporting sanity row,supported-on-grid-proxy,Paper-scale on-grid Tensor-OMP stays below the Kruskal proxy bound with perfect support recall in this local scan.,bound 87; max L/Lmax 0.7356; min recall 1.0000,05_results/stage3_paper_scale_kruskal_proxy,stage3_paper_scale_kruskal_proxy_20260624,sanity/check table or appendix,"on-grid proxy only; not off-grid, CDL, or DeepMIMO evidence"
Synthetic cross-scene portability,fallback portability evidence,local-synthetic-pass,A source-trained bounded off-grid alpha keeps useful gain under controlled synthetic scene shifts.,min target gain 5.8504 dB; max gap vs target oracle 0.4077 dB,05_results/stage3_synthetic_cross_scene_generalization,stage3_synthetic_cross_scene_generalization_20260624,fallback/generalization sanity row,"not ray-traced, not CDL, and not DeepMIMO Set E validation"
Sionna CDL profile generalization,E1 external-channel dev-chain,executable-but-weak-support,The open-source Sionna CDL-A/C/D channel path can feed a reproducible delay-angle sparse-recovery evaluation schema.,"profiles A,C,D; mean channel NMSE -12.8145 dB; min mean support recall 0.1719",05_results/sionna_cdl_profile_generalization,sionna_cdl_profile_generalization_dev_20260626,development evidence only until full E1 rerun,"bin-proxy delay/angle metrics and small dev sample count; current support recall is weak, so do not use as Sensors main CDL result yet"
Sionna CDL-A/C/D scaled support diagnostic,E1 scaled external-channel support,energy-supported-exact-bin-weak,"At the planned five-seed x 50-sample scale and a 128 x 16 FFT grid, CDL-A/C/D recovery retains high oracle top-k energy efficiency while exact bin overlap remains weak only in over-budgeted low-SNR CDL-D cells.",samples 9000.0000; mean channel NMSE -11.4399 dB; min exact recall 0.4188; min top-k energy efficiency 0.9886; min delay/angle recall 0.4512/0.6225,05_results/sionna_cdl_profile_generalization_scaled,sionna_cdl_profile_generalization_dev_5x50_n128_m16,supporting/appendix E1 evidence and limitation analysis,five seeds x 50 samples with canonical exact recall retained; CDL-D at 0 dB and L=16 remains exact-bin weak because its resolvable support is much smaller than the requested budget; trained estimator comparison remains open
Sionna CDL CIR-grounded physical grid baseline,E1 physical-metric baseline,cir-grounded-grid-baseline-and-clean-floor-recorded,Sionna tau and clean per-cluster CIR responses now provide reproducible nanosecond delay and projected broadside-angle metrics for the grid baseline.,mean delay RMSE 180.2287 ns; SNR>=20 delay RMSE 141.3205 ns; clean-grid delay floor 141.3234 ns; mean projected-angle RMSE 28.6253 deg; clean-grid angle floor 28.4459 deg,05_results/sionna_cdl_physical_metrics_grid_baseline,sionna_cdl_profile_generalization_dev_5x50_n128_m16_physical,E1 grid comparator and representation-floor evidence,"projected broadside angle is the identifiable 1-D ULA quantity, not separate azimuth/zenith AoD; high-SNR results lie near the clean-grid floor, so this is not trained-estimator performance"
